Job Title,Company,Location,Link
Analyst/ Sr. Analyst - Data Architect,Lilly,"Hybrid remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=174ed81bb6b6a03f&fccid=ac8d156b339793e6&vjs=3
Medical Information Analyst,Purcelloleary Recruitment,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=5d0bb2d1be8a3853&fccid=16b49c2fdc6884e2&vjs=3
Post Market Data analyst,Stryker,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=34b5bee5c920cac7&fccid=9d4dbca3ed8b9cdf&vjs=3
OTC Master Data Analyst,Barden,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=8871730380fc46f3&fccid=214c1aee7aa71aff&vjs=3
Inventory Analyst,GE Healthcare,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=574f02144fb92eb5&fccid=65b5f2aba4dbd31f&vjs=3
Transformation Analyst,PepsiCo,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=938e2ea2d4034ee0&fccid=2973259ddc967948&vjs=3
UX Designer/Business Analyst,Citco,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=60c9c7d612244556&fccid=58a0b6e7b7d51d7e&vjs=3
Global Shares - Tax Reporting Analyst,JPMorgan Chase & Co,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=cd7e51c9bd62f757&fccid=c46d0116f6e69eae&vjs=3
Clinical Statistical Analyst,Lilly,"Hybrid remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=c32ddd713a945b32&fccid=ac8d156b339793e6&vjs=3
"Business Analyst III – Core Data Management, Data Quality",f5,"Tower, County Cork",https://ie.indeed.com/rc/clk?jk=bff803bc53c7af29&fccid=093a18bf96b31ae1&vjs=3
Project Portfolio Analyst,PepsiCo,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=0e6759967984486f&fccid=2973259ddc967948&vjs=3
Data Analyst,Berkley Recruitment Group,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=296c7ecb4bc598b5&fccid=156e37836c4121f8&vjs=3
Financial Analyst,NetApp,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=af83add46bcfc4ba&fccid=77cec2f25f9bd7ed&vjs=3
Business Systems Analyst,NetApp,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=4a4bf270a7991218&fccid=77cec2f25f9bd7ed&vjs=3
Professional Services Operations Analyst - - 12 month FTC,Cloudera,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=26e2928313ff77ac&fccid=eb507df48b2f81c7&vjs=3
Banking Analyst - Financial Services Advisory,Grant Thornton,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=4ecb45625c32dec1&fccid=7ac82fceed64aa81&vjs=3
Financial Analyst,NetApp,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=af83add46bcfc4ba&fccid=77cec2f25f9bd7ed&vjs=3
Business Systems Analyst,NetApp,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=4a4bf270a7991218&fccid=77cec2f25f9bd7ed&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=2d414068b50abb13&fccid=7ac82fceed64aa81&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=56d682e0b3aff72e&fccid=c46d0116f6e69eae&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=d160c2bcf9cbe44c&fccid=ac8d156b339793e6&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=6412574b85147398&fccid=f57498171d0818f1&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=efb0b876d4dbda8d&fccid=893f9f3cd9fe4472&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=c97ce7a0251846ab&fccid=c46d0116f6e69eae&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=dcddca3ff87af7db&fccid=eb507df48b2f81c7&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=a7762c7928316af3&fccid=79d95b1544240a36&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=12315f052ac3a7f8&fccid=c46d0116f6e69eae&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=80f189635c4aad3b&fccid=4d99c568fef77869&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=41202c5043f04be3&fccid=7ac82fceed64aa81&vjs=3
,,,https://ie.indeed.com/rc/clk?jk=eaef4adabcf9b2ea&fccid=893f9f3cd9fe4472&vjs=3
Reporting Analyst,Morgan McKinley,"Hybrid remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=2871148f23b77f1f&fccid=893f9f3cd9fe4472&vjs=3
"Senior Analyst, Supply Chain",Stryker,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=6c64054b9c26be90&fccid=9d4dbca3ed8b9cdf&vjs=3
BI Manager,Reperio Human Capital,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=0ca681bb92358c46&fccid=79d95b1544240a36&vjs=3
QC Analyst Bioassay,Berkley Recruitment Group,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=c372a6f9487c514e&fccid=156e37836c4121f8&vjs=3
Business Intelligence Manager,Brightwater,"Hybrid remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=8c4651d603f157c0&fccid=133e7005c5444616&vjs=3
Business Analyst - Supply Chain,Berkley Recruitment Group,"Remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=25a40981e9cba320&fccid=156e37836c4121f8&vjs=3
SAP FICO Business Analyst,M/A Com Technolgy Solutions,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=bcf631f2b46f472f&fccid=64153878679e58ff&vjs=3
Business Analyst,Berkley Recruitment Group,"Remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=a9ca99394a56af06&fccid=156e37836c4121f8&vjs=3
Business Analyst SAP Materials Management,Morgan McKinley,"Remote in Cork, County Cork",https://ie.indeed.com/rc/clk?jk=c64d14377a9de685&fccid=893f9f3cd9fe4472&vjs=3
Sales Data Analysis Manager,FRS Recruitment,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=d033d8486469ce65&fccid=07efad185423424b&vjs=3
"Senior Business Analyst, SAP Supply Chain Management (SCM)",Cognex Corporation,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=8d735efa0e8cd86f&fccid=10262ed586a63244&vjs=3
"Senior Analyst/Lead , Private Label Business Development",McKesson Global Procurement & Sourcing Limited,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=792172e2f97b9f88&fccid=29964ada3527914d&vjs=3
Senior SAP Business Analyst SCM/MM,Cognex Corporation,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=bb1b34c0434e748c&fccid=10262ed586a63244&vjs=3
SAP OTC - FTM Business Analyst,Morgan McKinley,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=bed33e56c4c0439d&fccid=893f9f3cd9fe4472&vjs=3
Sales Operations Manager | Data Analysis,Collins McNicholas,"Cork, County Cork",https://ie.indeed.com/rc/clk?jk=7156c49c980af2d9&fccid=2db44d0c37554ccd&vjs=3
